project,date,no_bugs,bugs_rating,no_code_smells,code_smells_rating,no_vulnerabilities,vulnerabilities_rating
ant-master,2019-08-25 12:35:33+02:00,174,E,3971,A,93,E
ant-master,2019-09-14 14:31:25+02:00,174,E,3971,A,93,E
ant-master,2019-10-02 09:32:44+02:00,174,E,3971,A,93,E
ant-master,2019-10-20 15:42:42+02:00,175,E,3971,A,93,E
ant-master,2019-11-05 06:12:44+01:00,175,E,3975,A,93,E
ant-master,2019-12-16 06:51:07+01:00,175,E,3975,A,93,E
ant-master,2020-01-10 16:27:44+01:00,182,E,3947,A,93,E
ant-master,2020-01-16 06:06:34+01:00,182,E,3947,A,93,E
ant-master,2020-05-06 08:24:26+02:00,182,E,3932,A,85,E
ant-master,2020-05-10 15:35:31+02:00,182,E,3932,A,85,E
ant-master,2020-05-23 10:41:32+02:00,182,E,3924,A,83,E
ant-master,2020-06-03 11:32:45+02:00,182,E,3923,A,83,E
ant-master,2020-07-28 22:26:15+02:00,182,E,3931,A,83,E
ant-master,2020-07-29 13:11:31+02:00,182,E,3936,A,83,E
ant-master,2020-07-30 10:47:24+02:00,183,E,3933,A,83,E
