project,date,no_bugs,bugs_rating,no_code_smells,code_smells_rating,no_vulnerabilities,vulnerabilities_rating
cxf,2019-12-16 20:20:42+01:00,767,E,13274,A,540,E
cxf,2020-01-07 14:49:17+01:00,750,E,13302,A,534,E
cxf,2020-01-15 01:41:52+01:00,750,E,13307,A,534,E
cxf,2020-01-29 13:27:44+01:00,745,E,13302,A,535,E
cxf,2020-02-17 19:15:38+01:00,745,E,13302,A,531,E
cxf,2020-03-26 11:56:11+01:00,747,E,13461,A,524,E
cxf,2020-04-17 17:30:24+02:00,748,E,13492,A,529,E
cxf,2020-04-22 13:57:56+02:00,748,E,13492,A,531,E
cxf,2020-05-19 20:04:33+02:00,764,E,14216,A,366,E
cxf,2020-06-23 19:01:26+02:00,781,E,14231,A,357,E
cxf,2020-07-13 21:49:04+02:00,781,E,14235,A,354,E
cxf,2020-07-21 04:46:34+02:00,780,E,14258,A,356,E
cxf,2020-08-19 22:08:51+02:00,779,E,14270,A,413,E
cxf,2020-09-30 17:15:32+02:00,777,E,14315,A,225,E
cxf,2020-10-07 15:25:17+02:00,780,E,14440,A,194,E
cxf,2020-10-19 08:57:48+02:00,780,E,14447,A,194,E
cxf,2020-10-24 00:07:28+02:00,781,E,14456,A,195,E
cxf,2020-11-03 20:03:26+01:00,781,E,14454,A,195,E
cxf,2020-11-08 11:15:30+01:00,781,E,14454,A,196,E
cxf,2020-11-16 11:06:17+01:00,781,E,14457,A,196,E
cxf,2020-12-16 03:19:36+01:00,779,E,13715,A,196,E
cxf,2020-12-30 03:20:52+01:00,783,E,13859,A,98,E
cxf,2021-01-15 14:00:55+01:00,783,E,13891,A,102,E
cxf,2021-02-07 16:25:26+01:00,783,E,13892,A,102,E
cxf,2021-02-16 16:23:36+01:00,783,E,13892,A,100,E
cxf,2021-02-19 13:08:40+01:00,785,E,13897,A,100,E
cxf,2021-02-24 19:12:44+01:00,786,E,13903,A,101,E
cxf,2021-03-23 02:54:08+01:00,805,E,13807,A,100,E
cxf,2021-03-26 20:10:50+01:00,805,E,13799,A,100,E
cxf,2021-04-08 17:45:12+02:00,804,E,13602,A,100,E
cxf,2021-04-20 00:56:04+02:00,806,E,13538,A,99,E
cxf,2021-04-30 21:44:06+02:00,806,E,13530,A,99,E
cxf,2021-05-04 03:23:00+02:00,806,E,13537,A,99,E
cxf,2021-05-05 01:11:33+02:00,806,E,13537,A,99,E
cxf,2021-05-15 20:37:48+02:00,806,E,13537,A,99,E
cxf,2021-05-22 00:34:10+02:00,806,E,13539,A,99,E
cxf,2021-05-27 13:50:40+02:00,806,E,13539,A,99,E
cxf,2021-06-04 02:42:19+02:00,806,E,13540,A,99,E
cxf,2021-06-05 20:51:38+02:00,806,E,13540,A,99,E
cxf,2021-06-08 11:17:48+02:00,806,E,13540,A,99,E
cxf,2021-06-10 01:33:40+02:00,806,E,13389,A,98,E
cxf,2021-06-11 02:46:23+02:00,806,E,13389,A,98,E
cxf,2021-06-12 00:17:25+02:00,806,E,13389,A,98,E
