project,date,no_bugs,bugs_rating,no_code_smells,code_smells_rating,no_vulnerabilities,vulnerabilities_rating
apache-daffodil,2020-02-27 18:29:14+01:00,0,A,805,A,0,A
apache-daffodil,2020-03-05 20:25:27+01:00,0,A,803,A,0,A
apache-daffodil,2020-03-19 19:27:21+01:00,0,A,803,A,0,A
apache-daffodil,2020-03-26 15:02:42+01:00,0,A,802,A,0,A
apache-daffodil,2020-03-27 17:09:03+01:00,0,A,747,A,0,A
apache-daffodil,2020-04-01 21:56:11+02:00,0,A,755,A,0,A
apache-daffodil,2020-04-24 19:05:46+02:00,0,A,532,A,0,A
apache-daffodil,2020-04-27 19:01:51+02:00,0,A,330,A,0,A
apache-daffodil,2020-04-27 20:34:41+02:00,0,A,291,A,0,A
apache-daffodil,2020-05-13 20:10:52+02:00,0,A,290,A,0,A
apache-daffodil,2020-05-20 21:21:03+02:00,0,A,295,A,0,A
apache-daffodil,2020-06-11 19:58:29+02:00,4,C,295,A,0,A
apache-daffodil,2020-06-18 18:38:20+02:00,4,C,295,A,0,A
apache-daffodil,2020-07-11 01:21:14+02:00,4,C,295,A,0,A
apache-daffodil,2020-08-27 15:51:37+02:00,4,C,294,A,0,A
apache-daffodil,2020-09-03 15:29:27+02:00,4,C,294,A,0,A
apache-daffodil,2020-10-29 00:16:40+01:00,5,C,296,A,0,A
apache-daffodil,2020-11-20 15:06:51+01:00,0,A,301,A,0,A
apache-daffodil,2020-12-02 18:16:29+01:00,0,A,300,A,0,A
apache-daffodil,2020-12-04 17:03:49+01:00,0,A,300,A,0,A
apache-daffodil,2021-01-22 20:05:39+01:00,0,A,297,A,0,A
apache-daffodil,2021-02-19 19:03:31+01:00,0,A,301,A,0,A
apache-daffodil,2021-03-05 15:53:31+01:00,0,A,301,A,0,A
apache-daffodil,2021-04-19 17:33:26+02:00,4,C,300,A,0,A
apache-daffodil,2021-04-20 13:49:46+02:00,0,A,300,A,0,A
apache-daffodil,2021-04-30 17:58:24+02:00,0,A,294,A,0,A
apache-daffodil,2021-05-14 20:20:48+02:00,0,A,294,A,0,A
apache-daffodil,2021-05-21 16:57:13+02:00,0,A,293,A,0,A
apache-daffodil,2021-05-28 21:20:14+02:00,0,A,293,A,0,A
apache-daffodil,2021-06-03 18:29:12+02:00,0,A,293,A,0,A
apache-daffodil,2021-06-07 20:34:05+02:00,0,A,293,A,0,A
apache-daffodil,2021-06-11 18:03:41+02:00,0,A,293,A,0,A
