issue_type,issue_component,creator_name,creator_display_name,reporter_name,reporter_display_name,priority,description,labels,created,resolution,updated,status,id,key
New Feature,[],mbeckerle,Mike Beckerle,mbeckerle,Mike Beckerle,Major,"A feature is needed to make it easier for users of our APIs to communicate from the DFDL schema to software called via our APIs such as an InfosetOutputter.

The idea here is to provide an extension property (dfdlx prefix/namespace) which allows a whitespace separated list of name-value pairs to be attached to the runtime data corresponding to a term (element or model group).

This enables the extensible parts of Daffodil, such as an InfosetOutputter or InfosetInputter to get custom behaviors that go beyond what is expressed only with DFDL properties.

An example of a need for this is a data format which is binary data, but which contains embedded strings that are XML.  This XML has its own XML Schema.

Suppose one of those strings contains <foo attrib=""bar""/> which is XML that cannot be described in a DFDL schema because it uses XML attributes. That piece of XML would normally show up in Daffodil's XML output with escaping like

 
{code:java}
      ""&lt;foo attrib=&quot;bar&quot'/>""{code}
 

That is because the DFDL schema for such data must model these strings as that, strings. So the XML output from Daffodil might altogether look like:

 
{code:java}
<data>
   <xmlString>&lt;foo attrib=&quot;bar&quot'/></xmlString>
</data>{code}
As SAX events, one would get a Start Element for 'data' a Start Element for 'xmlString' with a simple value - the string, which would have to be escaped to be legal in XML - then End Element 'xmlString' and End Element 'data'.

However, an application may want this XML embedded within the XML created by Daffodil's XML infoset outputter, so that the whole data document in XML looks like a uniform piece of XML like:

 
{code:java}
<data><xmlString><foo attrib=""bar""'/></xmlString></data>
{code}
 

The SAX events would want to be Start Element 'data', Start Element 'xmlString', Start Element 'foo' carrying metadata for the attribute 'attrib' with value ""bar"", End Element 'foo', End Element 'xmlString' and End Element 'data'.

A DFDL schema, with a dfdlx:runtimeProperties can be used to make this happen:

 
{code:java}
<xs:element name=""xmlString"" type=""xs:string""
          dfdlx:runtimeProperties=""stringAsXML=true"" .../>{code}
The runtime ERD for this element will contain a Map[String, String] which would contain this pair ""stringAsXML"" and ""true"", which would be ignored by parsing/unparsing, excepting a custom InfosetOutputter that generates SAX XML events could be created that looks at each element ERD to see if it carries this pair. If so it could parse the string as XML and generate the SAX events corresponding to the string, so that the ultimate set of SAX events appears as if the document didn't contain a string of XML, but contained that XML substructure.

The symmetric unparser InfosetOutputter is a little trickier, but the principle is the same, the events for that element ERD would consume all the events corresponding to a full element, convert that element and all its children into a string of textual XML, and use that as the value of the simple type element named 'xmlString'.

This dfdlx:runtimeProperties property is a very general extension hook that can be used to transmit information from the DFDL schema to layer transformers, infoset inputters/outputters, etc.

 ",[],2021-06-11 19:42:39+00:00,,2021-06-11 21:28:09+00:00,Open,13383500,DAFFODIL-2537
Improvement,[],mbeckerle,Mike Beckerle,mbeckerle,Mike Beckerle,Major,"See topic _Refactoring for Separable Runtimes/Back-ends_

on the wiki page:

https://cwiki.apache.org/confluence/display/DAFFODIL/Roadmap+for+Upcoming+Releases",[],2021-06-11 19:00:22+00:00,,2021-06-11 19:43:42+00:00,Open,13383495,DAFFODIL-2536
Improvement,[],mbeckerle,Mike Beckerle,mbeckerle,Mike Beckerle,Major,"Quiet consensus discussion on dev list is that we should deprecate support for XML Catalogs for the reasons below (taken from email thread)
 
XML Catalogs seem very fragile, with important aspects that don't work (I was unable to get relative-catalogs to work at all) and I am wondering if we really need to support XML Catalogs not. Our classpath based resolution of schema locations works quite well and can be used to make quite modular DFDL schemas.
 
Currently, XML schemas built into Daffodil (e.g., tdml.xsd, the schema for DFDL schemas, etc.) are resolved from a built-in XML catalog, but really the fact that this is using a catalog is not particularly important. You can think of it as they're just built into our resolver.
 
XML Schemas referenced using the schemaLocation attribute on an xs:import/xs:include or the xsi:schemaLocation on XML instance documents are resolved by either:
 
1) relative to the file containing the reference, i.e., the file containing the include/import statement
 
2) relative to the root of any directory or jar on the classpath, searching them in classpath order. First one found wins.
 
This enables one to create multi-part DFDL schemas, such as for an envelope format, and a payload format carried inside the envelope format. Each can be testable separately, and a combining schema can be created that puts the payload on the classpath first, followed by the envelope format, and combines the two.
 
Given that this works, and works well, XML Catalogs can be demonstrated. 
 ",[],2021-06-10 13:16:48+00:00,,2021-06-10 13:16:48+00:00,Open,13383188,DAFFODIL-2535
Bug,[],mbeckerle,Mike Beckerle,mbeckerle,Mike Beckerle,Major,"IBM reported that their DFDL implementation was affected by what seems to be a bug introduced into the ICU library. Their description from the DFDL WG Agenda for 2021-06-10 is in this screenshot (apologies, the PDF doesn't allow select/cut/paste):

!image-2021-06-10-08-30-11-821.png|width=554,height=121!

Links:

[https://unicode-org.atlassian.net/browse/ICU-20425]

[https://github.com/unicode-org/icu/pull/1726]

 

 

 ",[],2021-06-10 12:34:59+00:00,,2021-06-10 12:34:59+00:00,Open,13383177,DAFFODIL-2534
Bug,[],slawrence,Steve Lawrence,slawrence,Steve Lawrence,Minor,"It looks like the TDMLRunner does not detect and error if duplicate defineConfigs exist. For example, the config ""cfg_defaultNamespace"" is defined twice in this file with different tuanble settings.

daffodil-test/src/test/resources/org/apache/daffodil/section00/general/tunables.tdml


This likely means someone copy/pasted a config and forgot to change the name, so there are probably tests not using the intended configs. We added the capability to detect and error when test cases are defined with duplicate names. We should probably do the same for defineConfig.

 ",['beginner'],2021-06-03 21:23:29+00:00,,2021-06-03 21:23:36+00:00,Open,13382004,DAFFODIL-2533
Bug,[],lblatchford,Lara Blatchford,lblatchford,Lara Blatchford,Critical,"The following backtrace occurs during parse of a NITF 2.1 file.  Schema to reproduce is attached.  The file to reproduce is too large to attach, but may be downloaded:  

[https://six-library.s3.amazonaws.com/sicd_example_RMA_RGZERO_RE16I_IM16I.nitf|https://usg02.safelinks.protection.office365.us/?url=https%3A%2F%2Fsix-library.s3.amazonaws.com%2Fsicd_example_RMA_RGZERO_RE16I_IM16I.nitf&data=04%7C01%7Clara.blatchford%40nteligen.com%7Cde5463635e994fbd00f108d926a9831e%7C379c214c5c944e86a6062d047675f02a%7C0%7C0%7C637583331759380720%7CUnknown%7CTWFpbGZsb3d8eyJWIjoiMC4wLjAwMDAiLCJQIjoiV2luMzIiLCJBTiI6Ik1haWwiLCJXVCI6Mn0%3D%7C1000&sdata=M0zdcUi1sg77AieKQHQHh90MzvEaCfMtIykhp5c%2BYN4%3D&reserved=0]

 

{{Exception in thread ""main"" org.apache.daffodil.exceptions.Abort: Invariant broken. Runtime.scala - Leaked exception: java.lang.NegativeArraySizeException}}{{java.lang.NegativeArraySizeException}}{{        at org.apache.daffodil.io.InputSourceDataInputStream.getByteArray(InputSourceDataInputStream.scala:149)}}{{        at org.apache.daffodil.processors.parsers.HexBinaryLengthParser.parse(HexBinaryLengthParsers.scala:42)}}{{        at org.apache.daffodil.processors.parsers.Parser.parse1(Parser.scala:78)}}{{        at org.apache.daffodil.processors.parsers.Parser.parse1$(Parser.scala:72)}}{{        at org.apache.daffodil.processors.parsers.HexBinaryLengthParser.parse1(HexBinaryLengthParsers.scala:26)}}{{        at org.apache.daffodil.processors.parsers.ElementParserBase.parse(ElementCombinator1.scala:148)}}{{        at org.apache.daffodil.processors.parsers.Parser.parse1(Parser.scala:78)}}{{        at org.apache.daffodil.processors.parsers.Parser.parse1$(Parser.scala:72)}}{{        at org.apache.daffodil.processors.parsers.CombinatorParser.parse1(Parser.scala:157)}}{{        at org.apache.daffodil.processors.parsers.ChoiceDispatchCombinatorParserBase.parse(ElementKindParsers.scala:233)}}{{        at org.apache.daffodil.processors.parsers.Parser.parse1(Parser.scala:78)}}{{        at org.apache.daffodil.processors.parsers.Parser.parse1$(Parser.scala:72)}}{{        at org.apache.daffodil.processors.parsers.CombinatorParser.parse1(Parser.scala:157)}}{{        at org.apache.daffodil.processors.parsers.Unseparated.parseOne(UnseparatedSequenceParsers.scala:29)}}{{        at org.apache.daffodil.processors.parsers.Unseparated.parseOne$(UnseparatedSequenceParsers.scala:27)}}{{        at org.apache.daffodil.processors.parsers.ScalarOrderedUnseparatedSequenceChildParser.parseOne(UnseparatedSequenceParsers.scala:36)}}{{        at org.apache.daffodil.processors.parsers.SequenceParserBase.parseOneInstance(SequenceParserBases.scala:279)}}{{        at org.apache.daffodil.processors.parsers.SequenceParserBase.parse(SequenceParserBases.scala:206)}}{{        at org.apache.daffodil.processors.parsers.Parser.parse1(Parser.scala:78)}}{{        at org.apache.daffodil.processors.parsers.Parser.parse1$(Parser.scala:72)}}{{        at org.apache.daffodil.processors.parsers.CombinatorParser.parse1(Parser.scala:157)}}{{        at org.apache.daffodil.processors.parsers.SpecifiedLengthParserBase.parse(SpecifiedLengthParsers.scala:69)}}{{        at org.apache.daffodil.processors.parsers.Parser.parse1(Parser.scala:78)}}{{        at org.apache.daffodil.processors.parsers.Parser.parse1$(Parser.scala:72)}}{{        at org.apache.daffodil.processors.parsers.CombinatorParser.parse1(Parser.scala:157)}}{{        at org.apache.daffodil.processors.parsers.ElementParserBase.parse(ElementCombinator1.scala:148)}}{{        at org.apache.daffodil.processors.parsers.Parser.parse1(Parser.scala:78)}}{{        at org.apache.daffodil.processors.parsers.Parser.parse1$(Parser.scala:72)}}{{        at org.apache.daffodil.processors.parsers.CombinatorParser.parse1(Parser.scala:157)}}{{        at org.apache.daffodil.processors.parsers.Unseparated.parseOne(UnseparatedSequenceParsers.scala:29)}}{{        at org.apache.daffodil.processors.parsers.Unseparated.parseOne$(UnseparatedSequenceParsers.scala:27)}}{{        at org.apache.daffodil.processors.parsers.ScalarOrderedUnseparatedSequenceChildParser.parseOne(UnseparatedSequenceParsers.scala:36)}}{{        at org.apache.daffodil.processors.parsers.SequenceParserBase.parseOneInstance(SequenceParserBases.scala:279)}}{{        at org.apache.daffodil.processors.parsers.SequenceParserBase.parse(SequenceParserBases.scala:206)}}{{        at org.apache.daffodil.processors.parsers.Parser.parse1(Parser.scala:78)}}{{        at org.apache.daffodil.processors.parsers.Parser.parse1$(Parser.scala:72)}}{{        at org.apache.daffodil.processors.parsers.CombinatorParser.parse1(Parser.scala:157)}}{{        at org.apache.daffodil.processors.parsers.ElementParserBase.parse(ElementCombinator1.scala:148)}}{{        at org.apache.daffodil.processors.parsers.Parser.parse1(Parser.scala:78)}}{{        at org.apache.daffodil.processors.parsers.Parser.parse1$(Parser.scala:72)}}{{        at org.apache.daffodil.processors.parsers.CombinatorParser.parse1(Parser.scala:157)}}{{        at org.apache.daffodil.processors.parsers.Unseparated.parseOne(UnseparatedSequenceParsers.scala:29)}}{{        at org.apache.daffodil.processors.parsers.Unseparated.parseOne$(UnseparatedSequenceParsers.scala:27)}}{{        at org.apache.daffodil.processors.parsers.RepOrderedExpressionOccursCountUnseparatedSequenceChildParser.parseOne(UnseparatedSequenceParsers.scala:63)}}{{        at org.apache.daffodil.processors.parsers.SequenceParserBase.parseOneInstance(SequenceParserBases.scala:279)}}{{        at org.apache.daffodil.processors.parsers.SequenceParserBase.parse(SequenceParserBases.scala:139)}}{{        at org.apache.daffodil.processors.parsers.Parser.parse1(Parser.scala:78)}}{{        at org.apache.daffodil.processors.parsers.Parser.parse1$(Parser.scala:72)}}{{        at org.apache.daffodil.processors.parsers.CombinatorParser.parse1(Parser.scala:157)}}{{        at org.apache.daffodil.processors.parsers.ElementParserBase.parse(ElementCombinator1.scala:148)}}{{        at org.apache.daffodil.processors.parsers.Parser.parse1(Parser.scala:78)}}{{        at org.apache.daffodil.processors.parsers.Parser.parse1$(Parser.scala:72)}}{{        at org.apache.daffodil.processors.parsers.CombinatorParser.parse1(Parser.scala:157)}}{{        at org.apache.daffodil.processors.DataProcessor.doParse(DataProcessor.scala:443)}}{{        at org.apache.daffodil.processors.DataProcessor.$anonfun$parse$1(DataProcessor.scala:406)}}{{        at scala.util.DynamicVariable.withValue(DynamicVariable.scala:62)}}{{        at org.apache.daffodil.ExecutionMode$.$anonfun$usingRuntimeMode$1(ExecutionMode.scala:65)}}{{        at org.apache.daffodil.processors.DataProcessor.parse(DataProcessor.scala:398)}}{{        at org.apache.daffodil.processors.DataProcessor.parse(DataProcessor.scala:394)}}{{        at org.apache.daffodil.japi.DataProcessor.parse(Daffodil.scala:718)}}{{ }}{{org.apache.daffodil.exceptions.Assert$.abort(Assert.scala:120)}}{{org.apache.daffodil.exceptions.Assert$.invariantFailed(Assert.scala:166)}}{{org.apache.daffodil.processors.DataProcessor.doParse(DataProcessor.scala:502)}}{{org.apache.daffodil.processors.DataProcessor.$anonfun$parse$1(DataProcessor.scala:406)}}{{        at org.apache.daffodil.exceptions.Assert$.abort(Assert.scala:120)}}{{        at org.apache.daffodil.exceptions.Assert$.invariantFailed(Assert.scala:166)}}{{        at org.apache.daffodil.processors.DataProcessor.doParse(DataProcessor.scala:502)}}{{        at org.apache.daffodil.processors.DataProcessor.$anonfun$parse$1(DataProcessor.scala:406)}}{{        at scala.util.DynamicVariable.withValue(DynamicVariable.scala:62)}}{{        at org.apache.daffodil.ExecutionMode$.$anonfun$usingRuntimeMode$1(ExecutionMode.scala:65)}}{{        at org.apache.daffodil.processors.DataProcessor.parse(DataProcessor.scala:398)}}{{        at org.apache.daffodil.processors.DataProcessor.parse(DataProcessor.scala:394)}}{{        at org.apache.daffodil.japi.DataProcessor.parse(Daffodil.scala:718)}}",[],2021-06-03 16:13:35+00:00,,2021-06-10 18:10:15+00:00,Reopened,13381944,DAFFODIL-2532
Bug,[],mbeckerle,Mike Beckerle,mbeckerle,Mike Beckerle,Major,"Under sbt 1.5.3, the failure describe here happens.

It doesn't fail this way under sbt 1.3.9

The CSV dfdl schema has one portable test and two daffodil-only tests in it.

I am building and testing CSV as a sub-module in a regression test suite that has lots of schemas in it.

So the command I'm issuing is at a enclosing directory:
{code:java}
sbt dfdl-csv/ibm{code}
That should run the 1 portable test and skip the 2 non-portable tests.

However, it fails the 2 non-portable tests

I've instrumented Daffodil 3.2.0-SNAPSHOT a little to show why this is failing.
{code:java}
[error] Test suite com.tresys.csv.TestCSV failed with java.lang.ClassNotFoundException: org.junit.AssumptionViolatedException.
 [error] This may be due to the ClassLoaderLayeringStrategy (ScalaLibrary) used by your task.
 [error] To improve performance and reduce memory, sbt attempts to cache the class loaders used to load the project dependencies.
 [error] The project class files are loaded in a separate class loader that is created for each test run.
 [error] The test class loader accesses the project dependency classes using the cached project dependency classloader.
 [error] With this approach, class loading may fail under the following conditions:
 [error] 
 [error] * Dependencies use reflection to access classes in your project's classpath.
 [error] Java serialization/deserialization may cause this.
 [error] * An open package is accessed across layers. If the project's classes access or extend
 [error] jvm package private classes defined in a project dependency, it may cause an IllegalAccessError
 [error] because the jvm enforces package private at the classloader level.
 [error] 
 [error] These issues, along with others that were not enumerated above, may be resolved by changing the class loader layering strategy.
 [error] The Flat and ScalaLibrary strategies bundle the full project classpath in the same class loader.
 [error] To use one of these strategies, set the ClassLoaderLayeringStrategy key
 [error] in your configuration, for example:
 [error] 
 [error] set dfdl-csv / Test / classLoaderLayeringStrategy := ClassLoaderLayeringStrategy.ScalaLibrary
 [error] set dfdl-csv / Test / classLoaderLayeringStrategy := ClassLoaderLayeringStrategy.Flat
 [error] 
 [error] See ClassLoaderLayeringStrategy.scala for the full list of options.

{code}",[],2021-06-02 23:17:50+00:00,2021-06-04 14:36:49+00:00,2021-06-04 19:09:46+00:00,Closed,13381804,DAFFODIL-2531
Bug,[],mbeckerle,Mike Beckerle,mbeckerle,Mike Beckerle,Major,"Recent changes for XML Validation in the TDML runner broke the crosstester.

There are several lines of code in the TDML runner which are exercised only during an IBM DFDL cross test, and one of those has a clear mistake in it.",[],2021-06-02 18:19:20+00:00,2021-06-02 20:53:17+00:00,2021-06-03 16:40:30+00:00,Closed,13381768,DAFFODIL-2530
Bug,[],mbeckerle,Mike Beckerle,mbeckerle,Mike Beckerle,Major,"There are 2 schemas that we got from the plc4x project when they were experimenting with DFDL.

These schemas make use of XML Catalogs.

If you update their build.sbt to reference 3.2.0-SNAPSHOT, they fail with

```

[info] Test org.apache.plc4x.protocols.knxnetip.ProtocolTest.test_KNXNetIP_Disconnect_Response started
[error] Test org.apache.plc4x.protocols.knxnetip.ProtocolTest.test_KNXNetIP_Disconnect_Response failed: org.xml.sax.SAXParseException: src-resolve: Cannot resolve the name 'dfdl:format' to a(n) 'element declaration' component., took 0.007 sec
[error] at org.apache.xerces.util.ErrorHandlerWrapper.createSAXParseException(Unknown Source)
[error] at org.apache.xerces.util.ErrorHandlerWrapper.error(Unknown Source)
[error] at org.apache.xerces.impl.XMLErrorReporter.reportError(Unknown Source)
[error] at org.apache.xerces.impl.xs.traversers.XSDHandler.reportSchemaError(Unknown Source)
[error] at org.apache.xerces.impl.xs.traversers.XSDHandler.reportSchemaError(Unknown Source)
[error] at org.apache.xerces.impl.xs.traversers.XSDHandler.getGlobalDecl(Unknown Source)
[error] at org.apache.xerces.impl.xs.traversers.XSDElementTraverser.traverseLocal(Unknown Source)
[error] at org.apache.xerces.impl.xs.traversers.XSDHandler.traverseLocalElements(Unknown Source)
[error] at org.apache.xerces.impl.xs.traversers.XSDHandler.parseSchema(Unknown Source)
[error] at org.apache.xerces.impl.xs.XMLSchemaLoader.loadSchema(Unknown Source)
[error] at org.apache.xerces.impl.xs.XMLSchemaLoader.loadGrammar(Unknown Source)
[error] at org.apache.xerces.impl.xs.XMLSchemaLoader.loadGrammar(Unknown Source)
[error] at org.apache.xerces.jaxp.validation.XMLSchemaFactory.newSchema(Unknown Source)
[error] at org.apache.daffodil.validation.XercesValidator.<init>(XercesValidator.scala:81)
[error] at org.apache.daffodil.validation.XercesValidator$.fromURIs(XercesValidator.scala:134)
[error] at org.apache.daffodil.xml.DaffodilXMLLoader.$anonfun$load$1(DaffodilXMLLoader.scala:586)
[error] at org.apache.daffodil.xml.DaffodilXMLLoader.$anonfun$load$1$adapted(DaffodilXMLLoader.scala:584)
[error] at scala.Option.foreach(Option.scala:407)
[error] at org.apache.daffodil.xml.DaffodilXMLLoader.load(DaffodilXMLLoader.scala:584)
[error] at org.apache.daffodil.xml.DaffodilXMLLoader.load(DaffodilXMLLoader.scala:562)

```

If you remove the XML Catalog usage, and replace it with class-path relative names, then the schemas still work. But that shouldn't be necessary of course.",[],2021-06-02 17:28:02+00:00,2021-06-03 18:26:15+00:00,2021-06-03 19:18:22+00:00,Closed,13381756,DAFFODIL-2529
New Feature,[],jinterrante,John Interrante,jinterrante,John Interrante,Major,"I noticed that Commons IO has merged dependabot PRs to update GitHub Actions, which is an useful feature we may want to enable in Daffodil repositories too.  

We need to add a new file $REPO/.github/dependabot.yml to enable this feature.  There is a possibility Dependabot may try to update Scala dependencies too but we probably can disable that through configuration if that happens (see the second link). 

[Dependabot now updates your Actions workflows | The GitHub Blog|https://github.blog/2020-06-25-dependabot-now-updates-your-actions-workflows/]

[Enabling and disabling version updates - GitHub Docs|https://docs.github.com/en/code-security/supply-chain-security/keeping-your-dependencies-updated-automatically/enabling-and-disabling-version-updates#enabling-github-dependabot-version-updates]",[],2021-05-28 19:07:12+00:00,,2021-05-28 19:14:38+00:00,Open,13381036,DAFFODIL-2528
