project,date,no_bugs,bugs_rating,no_code_smells,code_smells_rating,no_vulnerabilities,vulnerabilities_rating
apache_groovy,2020-03-22 01:59:45+01:00,376,E,7935,A,229,E
apache_groovy,2020-03-22 13:02:57+01:00,431,E,9169,A,274,E
apache_groovy,2020-03-22 17:07:30+01:00,431,E,9169,A,274,E
apache_groovy,2020-04-07 10:26:05+02:00,333,E,9074,A,273,E
apache_groovy,2020-04-08 14:04:36+02:00,333,E,9091,A,273,E
apache_groovy,2020-04-16 18:17:34+02:00,271,E,10776,A,226,E
apache_groovy,2020-04-21 14:27:13+02:00,332,E,12589,A,271,E
apache_groovy,2020-05-18 13:00:35+02:00,332,E,12755,A,204,E
apache_groovy,2020-05-21 03:27:41+02:00,332,E,12754,A,204,E
apache_groovy,2020-06-23 14:04:30+02:00,241,E,10445,A,181,E
apache_groovy,2020-07-19 15:35:32+02:00,306,E,12785,A,205,E
apache_groovy,2020-07-20 05:29:17+02:00,306,E,12785,A,205,E
apache_groovy,2020-07-20 16:54:51+02:00,220,E,10454,A,182,E
apache_groovy,2020-08-29 09:17:45+02:00,309,E,12771,A,205,E
apache_groovy,2020-09-25 13:56:13+02:00,220,E,10408,A,182,E
apache_groovy,2020-09-26 09:38:03+02:00,305,E,12680,A,205,E
apache_groovy,2020-09-26 15:46:07+02:00,220,E,10416,A,182,E
apache_groovy,2020-09-27 04:38:41+02:00,305,E,12680,A,205,E
apache_groovy,2020-10-07 15:09:55+02:00,220,E,9525,A,182,E
apache_groovy,2020-10-13 02:27:58+02:00,219,E,9567,A,182,E
apache_groovy,2020-11-17 13:01:12+01:00,305,E,12719,A,205,E
apache_groovy,2020-11-30 08:26:09+01:00,296,E,12714,A,204,E
apache_groovy,2020-12-02 17:25:04+01:00,296,E,12714,A,204,E
apache_groovy,2020-12-16 16:59:24+01:00,293,E,12516,A,204,E
apache_groovy,2021-01-16 04:14:56+01:00,295,E,12495,A,204,E
apache_groovy,2021-02-07 17:23:17+01:00,295,E,12498,A,204,E
apache_groovy,2021-02-15 12:06:20+01:00,296,E,12499,A,204,E
apache_groovy,2021-02-25 11:36:51+01:00,296,E,12495,A,205,E
apache_groovy,2021-03-29 20:02:22+02:00,296,E,12488,A,205,E
apache_groovy,2021-04-16 13:07:29+02:00,296,E,12485,A,205,E
apache_groovy,2021-04-19 09:56:07+02:00,296,E,12485,A,205,E
apache_groovy,2021-04-19 13:00:41+02:00,296,E,12603,A,205,E
apache_groovy,2021-05-09 18:01:54+02:00,296,E,12603,A,205,E
apache_groovy,2021-05-20 07:20:30+02:00,294,E,12603,A,205,E
apache_groovy,2021-06-12 07:42:43+02:00,294,E,12775,A,205,E
