project,date,no_bugs,bugs_rating,no_code_smells,code_smells_rating,no_vulnerabilities,vulnerabilities_rating
hadoop-ozone,2019-11-14 18:45:30+01:00,179,E,2599,A,33,E
hadoop-ozone,2019-11-15 03:41:25+01:00,166,E,2384,A,29,E
hadoop-ozone,2019-11-19 02:04:33+01:00,149,E,2443,A,31,E
hadoop-ozone,2019-12-27 08:53:10+01:00,89,E,2301,A,43,B
hadoop-ozone,2020-01-07 11:34:50+01:00,82,E,2330,A,27,B
hadoop-ozone,2020-02-17 17:25:23+01:00,88,E,2448,A,34,E
hadoop-ozone,2020-03-11 08:51:04+01:00,112,E,2449,A,37,E
hadoop-ozone,2020-03-30 16:46:20+02:00,112,E,2434,A,37,E
hadoop-ozone,2020-04-16 15:52:21+02:00,111,E,2536,A,38,E
hadoop-ozone,2020-04-21 11:39:10+02:00,117,E,2581,A,38,E
hadoop-ozone,2020-05-18 14:04:10+02:00,126,E,2845,A,39,E
hadoop-ozone,2020-06-04 09:48:17+02:00,0,A,1,A,0,A
hadoop-ozone,2020-06-04 09:56:36+02:00,114,E,2876,A,38,E
hadoop-ozone,2020-06-23 15:57:59+02:00,115,E,2944,A,38,E
hadoop-ozone,2020-07-20 16:39:41+02:00,93,E,2949,A,38,E
hadoop-ozone,2020-08-28 00:42:23+02:00,90,E,2996,A,51,E
hadoop-ozone,2020-09-25 16:04:52+02:00,95,E,3152,A,39,E
hadoop-ozone,2020-10-07 16:03:32+02:00,96,E,3214,A,34,E
hadoop-ozone,2020-12-14 14:07:35+01:00,107,E,3265,A,34,E
hadoop-ozone,2020-12-15 10:00:25+01:00,103,E,3179,A,34,E
hadoop-ozone,2021-01-04 16:08:29+01:00,104,E,3203,A,34,E
hadoop-ozone,2021-01-15 16:35:03+01:00,110,E,3228,A,34,E
hadoop-ozone,2021-02-05 13:58:09+01:00,112,E,3169,A,35,E
hadoop-ozone,2021-02-15 15:46:06+01:00,114,E,3162,A,34,E
hadoop-ozone,2021-02-18 21:50:13+01:00,114,E,3158,A,34,E
hadoop-ozone,2021-02-24 16:52:28+01:00,118,E,3181,A,33,E
hadoop-ozone,2021-03-22 11:36:18+01:00,119,E,3202,A,33,E
hadoop-ozone,2021-04-19 13:09:54+02:00,169,E,3546,A,33,E
hadoop-ozone,2021-04-20 05:31:07+02:00,169,E,3550,A,33,E
hadoop-ozone,2021-04-20 05:36:40+02:00,169,E,3550,A,33,E
hadoop-ozone,2021-04-30 16:41:44+02:00,171,E,3583,A,33,E
hadoop-ozone,2021-05-15 05:31:20+02:00,176,E,3576,A,35,E
hadoop-ozone,2021-05-22 16:42:55+02:00,179,E,3586,A,35,E
hadoop-ozone,2021-05-29 17:24:54+02:00,182,E,3632,A,35,E
hadoop-ozone,2021-06-05 16:28:34+02:00,182,E,3651,A,34,E
hadoop-ozone,2021-06-07 21:40:48+02:00,182,E,3647,A,34,E
hadoop-ozone,2021-06-08 21:33:11+02:00,182,E,3887,A,34,E
hadoop-ozone,2021-06-09 21:50:07+02:00,182,E,3870,A,34,E
hadoop-ozone,2021-06-10 17:29:20+02:00,182,E,3870,A,34,E
hadoop-ozone,2021-06-11 08:18:59+02:00,182,E,3869,A,34,E
hadoop-ozone,2021-06-12 04:29:08+02:00,182,E,3873,A,34,E
hadoop-ozone,2021-06-12 16:26:15+02:00,182,E,3873,A,34,E
