project,date,no_bugs,bugs_rating,no_code_smells,code_smells_rating,no_vulnerabilities,vulnerabilities_rating
apache_incubator-iotdb,2019-12-23 08:03:17+01:00,101,E,1289,A,136,E
apache_incubator-iotdb,2020-01-07 12:06:00+01:00,108,E,1285,A,123,D
apache_incubator-iotdb,2020-02-11 13:18:28+01:00,107,E,1249,A,123,D
apache_incubator-iotdb,2020-02-15 09:19:45+01:00,107,E,1252,A,123,D
apache_incubator-iotdb,2020-02-17 15:20:24+01:00,108,E,1251,A,124,D
apache_incubator-iotdb,2020-03-11 08:45:03+01:00,117,E,1186,A,124,D
apache_incubator-iotdb,2020-04-16 16:26:03+02:00,105,E,1277,A,120,D
apache_incubator-iotdb,2020-04-21 12:04:04+02:00,105,E,1293,A,120,D
apache_incubator-iotdb,2020-05-18 14:05:32+02:00,102,E,1375,A,96,D
apache_incubator-iotdb,2020-06-23 11:29:59+02:00,101,E,1403,A,94,B
apache_incubator-iotdb,2020-06-28 09:38:52+02:00,101,E,1403,A,94,B
apache_incubator-iotdb,2020-07-21 05:20:12+02:00,99,E,1390,A,92,B
apache_incubator-iotdb,2020-08-27 03:47:06+02:00,99,E,1399,A,92,B
apache_incubator-iotdb,2020-09-01 15:19:55+02:00,95,E,1387,A,92,B
apache_incubator-iotdb,2020-09-03 11:37:37+02:00,2,C,1293,A,92,B
apache_incubator-iotdb,2020-09-09 15:43:59+02:00,2,C,1303,A,92,B
apache_incubator-iotdb,2020-09-25 18:11:21+02:00,5,E,1318,A,92,B
apache_incubator-iotdb,2020-10-07 10:28:49+02:00,0,A,1319,A,92,B
apache_incubator-iotdb,2020-10-09 14:16:42+02:00,0,A,1361,A,92,B
apache_incubator-iotdb,2020-10-21 04:27:26+02:00,1,C,1242,A,90,B
apache_incubator-iotdb,2020-10-28 15:50:20+01:00,1,C,1236,A,89,B
apache_incubator-iotdb,2020-10-29 07:52:35+01:00,0,A,1239,A,89,B
apache_incubator-iotdb,2020-11-26 14:28:29+01:00,0,A,1219,A,87,B
apache_incubator-iotdb,2020-12-02 13:47:36+01:00,0,A,1227,A,87,B
apache_incubator-iotdb,2020-12-04 16:19:30+01:00,0,A,1226,A,87,B
apache_incubator-iotdb,2020-12-07 13:41:39+01:00,0,A,1231,A,87,B
apache_incubator-iotdb,2020-12-07 14:36:53+01:00,0,A,1217,A,87,B
apache_incubator-iotdb,2020-12-15 09:14:30+01:00,0,A,1173,A,81,B
apache_incubator-iotdb,2020-12-15 10:28:57+01:00,0,A,1172,A,81,B
apache_incubator-iotdb,2021-01-15 19:24:23+01:00,0,A,1193,A,81,B
apache_incubator-iotdb,2021-01-18 04:38:22+01:00,1,C,1231,A,81,B
apache_incubator-iotdb,2021-01-18 09:02:13+01:00,0,A,1232,A,81,B
apache_incubator-iotdb,2021-01-22 03:52:12+01:00,0,A,1250,A,79,B
apache_incubator-iotdb,2021-01-22 05:36:51+01:00,0,A,1217,A,79,B
apache_incubator-iotdb,2021-01-22 08:48:59+01:00,2,E,1217,A,79,B
apache_incubator-iotdb,2021-01-22 08:53:43+01:00,0,A,1217,A,79,B
apache_incubator-iotdb,2021-01-23 07:06:05+01:00,2,E,1217,A,79,B
apache_incubator-iotdb,2021-01-26 07:58:31+01:00,0,A,1217,A,79,B
apache_incubator-iotdb,2021-01-27 08:29:33+01:00,0,A,1252,A,79,B
apache_incubator-iotdb,2021-01-27 10:05:23+01:00,0,A,1219,A,79,B
apache_incubator-iotdb,2021-01-28 13:03:14+01:00,0,A,1251,A,79,B
apache_incubator-iotdb,2021-01-29 03:11:30+01:00,0,A,1218,A,79,B
apache_incubator-iotdb,2021-01-30 05:33:03+01:00,0,A,1199,A,79,B
apache_incubator-iotdb,2021-02-05 16:54:29+01:00,5,E,1199,A,79,B
apache_incubator-iotdb,2021-02-16 12:27:56+01:00,5,E,8777,A,79,B
apache_incubator-iotdb,2021-02-25 09:54:22+01:00,4,E,9024,A,79,B
apache_incubator-iotdb,2021-03-22 13:43:31+01:00,18,E,5164,A,79,B
apache_incubator-iotdb,2021-04-19 15:14:49+02:00,18,E,5428,A,78,B
apache_incubator-iotdb,2021-04-22 06:29:01+02:00,18,E,5698,A,78,B
apache_incubator-iotdb,2021-05-01 06:25:18+02:00,17,D,5713,A,78,B
apache_incubator-iotdb,2021-05-22 04:28:11+02:00,6,C,5774,A,78,B
apache_incubator-iotdb,2021-05-28 15:40:46+02:00,6,C,5784,A,78,B
apache_incubator-iotdb,2021-06-05 18:37:45+02:00,6,C,5800,A,78,B
apache_incubator-iotdb,2021-06-07 13:18:06+02:00,6,C,5808,A,76,B
apache_incubator-iotdb,2021-06-08 09:09:41+02:00,6,C,5809,A,76,B
apache_incubator-iotdb,2021-06-10 09:47:12+02:00,6,C,5822,A,76,B
apache_incubator-iotdb,2021-06-11 06:50:00+02:00,6,C,5823,A,76,B
apache_incubator-iotdb,2021-06-12 04:32:05+02:00,6,C,5825,A,76,B
apache_incubator-iotdb,2021-06-12 05:30:33+02:00,6,C,5825,A,76,B
apache_incubator-iotdb,2021-06-12 10:13:21+02:00,6,C,5825,A,76,B
