project,date,no_bugs,bugs_rating,no_code_smells,code_smells_rating,no_vulnerabilities,vulnerabilities_rating
apache_isis,2019-12-13 05:32:12+01:00,301,E,5296,A,162,E
apache_isis,2020-01-08 00:39:39+01:00,303,E,5410,A,154,E
apache_isis,2020-01-15 22:51:12+01:00,328,E,5846,A,155,E
apache_isis,2020-01-30 10:04:44+01:00,116,E,5327,A,149,E
apache_isis,2020-02-18 05:15:19+01:00,3,C,4691,A,0,A
apache_isis,2020-03-12 05:16:18+01:00,3,C,4773,A,1,E
apache_isis,2020-03-29 06:16:08+02:00,6,C,4827,A,0,A
apache_isis,2020-04-18 06:18:28+02:00,9,C,4909,A,0,A
apache_isis,2020-04-22 06:20:40+02:00,7,C,4958,A,0,A
apache_isis,2020-05-19 06:15:24+02:00,4,C,5318,A,0,A
apache_isis,2020-06-24 06:16:19+02:00,17,D,5196,A,0,A
apache_isis,2020-07-14 06:14:36+02:00,14,E,5318,A,0,A
apache_isis,2020-07-21 06:16:15+02:00,3,C,5357,A,0,A
apache_isis,2020-08-29 06:17:11+02:00,5,C,5425,A,0,A
apache_isis,2020-09-26 06:19:42+02:00,5,C,3076,A,0,A
apache_isis,2020-09-30 10:00:46+02:00,5,C,3077,A,0,A
apache_isis,2020-10-07 19:02:17+02:00,6,D,3287,A,0,A
apache_isis,2020-10-17 06:17:07+02:00,0,A,3289,A,0,A
apache_isis,2020-10-24 06:17:08+02:00,12,C,5954,A,0,A
apache_isis,2020-11-17 05:28:36+01:00,2,C,5364,A,0,A
apache_isis,2020-12-16 05:35:05+01:00,7,E,5161,A,0,A
apache_isis,2021-01-05 05:52:39+01:00,17,E,5176,A,0,A
apache_isis,2021-01-17 06:06:24+01:00,10,C,5266,A,0,A
apache_isis,2021-02-06 05:35:20+01:00,3,C,5250,A,0,A
apache_isis,2021-02-16 05:36:29+01:00,3,C,5298,A,0,A
apache_isis,2021-02-19 10:23:03+01:00,3,C,5290,A,0,A
apache_isis,2021-02-25 05:42:02+01:00,5,C,5280,A,2,E
apache_isis,2021-03-23 05:38:45+01:00,16,E,5328,A,1,E
apache_isis,2021-03-27 05:44:31+01:00,16,E,5344,A,1,E
apache_isis,2021-04-09 06:41:48+02:00,19,E,5380,A,1,E
apache_isis,2021-04-20 06:43:26+02:00,20,E,5239,A,1,E
apache_isis,2021-05-01 06:40:52+02:00,23,E,5885,A,1,E
apache_isis,2021-05-04 06:39:58+02:00,23,E,5872,A,1,E
apache_isis,2021-05-05 06:41:27+02:00,23,E,5888,A,1,E
apache_isis,2021-05-22 06:54:08+02:00,23,E,5684,A,1,E
apache_isis,2021-05-28 07:52:31+02:00,26,E,5688,A,1,E
apache_isis,2021-06-05 05:57:41+02:00,26,E,5776,A,1,E
apache_isis,2021-06-06 05:45:54+02:00,26,E,5775,A,1,E
apache_isis,2021-06-08 05:31:56+02:00,26,E,5776,A,1,E
apache_isis,2021-06-09 05:09:47+02:00,26,E,5791,A,1,E
apache_isis,2021-06-10 05:01:34+02:00,26,E,5757,A,1,E
apache_isis,2021-06-11 05:00:35+02:00,25,E,5744,A,1,E
apache_isis,2021-06-12 04:47:00+02:00,27,E,5809,A,2,E
apache_isis,2021-06-13 04:50:55+02:00,27,E,5826,A,2,E
apache_isis,2021-06-14 04:52:14+02:00,27,E,5830,A,2,E
