project,date,no_bugs,bugs_rating,no_code_smells,code_smells_rating,no_vulnerabilities,vulnerabilities_rating
JMeter,2019-08-13 10:11:51+02:00,61,E,2616,A,27,E
JMeter,2019-08-22 18:43:13+02:00,85,E,2925,A,27,E
JMeter,2019-09-28 21:41:47+02:00,72,E,2892,A,27,E
JMeter,2019-10-05 18:28:21+02:00,76,E,2881,A,0,A
JMeter,2019-11-08 08:01:14+01:00,75,E,2872,A,0,A
JMeter,2019-11-25 19:37:57+01:00,75,E,2884,A,0,A
JMeter,2019-12-28 19:05:51+01:00,75,E,2883,A,0,A
JMeter,2020-01-07 16:08:18+01:00,75,E,2901,A,1,E
JMeter,2020-01-16 14:43:22+01:00,75,E,2901,A,1,E
JMeter,2020-01-27 23:26:49+01:00,75,E,2906,A,1,E
JMeter,2020-02-13 08:49:30+01:00,75,E,2906,A,1,E
JMeter,2020-02-17 21:26:33+01:00,75,E,2909,A,1,E
JMeter,2020-03-23 14:57:01+01:00,80,E,2895,A,7,E
JMeter,2020-04-25 11:06:35+02:00,82,E,2923,A,7,E
JMeter,2020-05-03 12:36:53+02:00,82,E,2922,A,7,E
JMeter,2020-05-03 20:31:57+02:00,82,E,2927,A,7,E
JMeter,2020-05-26 14:57:38+02:00,82,E,4387,A,7,E
JMeter,2020-05-26 15:14:22+02:00,82,E,4387,A,7,E
JMeter,2020-06-23 19:50:20+02:00,82,E,4385,A,7,E
JMeter,2020-07-17 18:34:11+02:00,82,E,4386,A,7,E
JMeter,2020-07-25 15:36:40+02:00,78,E,4400,A,7,E
JMeter,2020-08-02 19:20:43+02:00,78,E,4400,A,7,E
JMeter,2020-08-08 14:45:17+02:00,78,E,4400,A,7,E
JMeter,2020-09-26 11:01:04+02:00,76,D,4409,A,7,E
JMeter,2020-10-09 18:05:40+02:00,75,D,4443,A,7,E
JMeter,2020-11-19 12:00:13+01:00,83,E,4259,A,7,E
JMeter,2020-11-24 16:28:17+01:00,83,E,4260,A,7,E
JMeter,2020-11-25 18:34:56+01:00,83,E,4279,A,7,E
JMeter,2020-12-04 22:19:30+01:00,83,E,4278,A,7,E
JMeter,2020-12-17 20:48:29+01:00,82,E,4250,A,7,E
JMeter,2021-01-15 22:51:26+01:00,82,E,4257,A,11,E
JMeter,2021-01-25 23:48:06+01:00,82,E,4257,A,11,E
JMeter,2021-02-11 20:24:06+01:00,82,E,4261,A,11,E
JMeter,2021-02-15 17:52:14+01:00,82,E,4261,A,11,E
JMeter,2021-02-27 17:22:06+01:00,82,E,4259,A,12,E
JMeter,2021-03-27 16:53:50+01:00,89,E,4114,A,12,E
JMeter,2021-04-24 12:59:21+02:00,87,E,4099,A,12,E
JMeter,2021-05-01 12:56:58+02:00,87,E,4101,A,12,E
JMeter,2021-05-08 14:27:53+02:00,87,E,4070,A,12,E
JMeter,2021-05-22 15:56:18+02:00,87,E,4070,A,12,E
JMeter,2021-05-25 21:05:56+02:00,87,E,4071,A,12,E
JMeter,2021-06-03 11:43:46+02:00,87,E,4064,A,12,E
JMeter,2021-06-04 08:12:05+02:00,87,E,4064,A,12,E
JMeter,2021-06-05 15:36:34+02:00,87,E,4064,A,12,E
JMeter,2021-06-07 21:59:57+02:00,87,E,4064,A,12,E
JMeter,2021-06-09 18:36:59+02:00,87,E,4054,A,12,E
JMeter,2021-06-10 21:26:22+02:00,87,E,4053,A,12,E
