project,date,no_bugs,bugs_rating,no_code_smells,code_smells_rating,no_vulnerabilities,vulnerabilities_rating
jspwiki-builder,2019-08-21 22:23:14+02:00,203,E,2574,A,174,E
jspwiki-builder,2019-08-21 23:43:16+02:00,234,E,2588,A,175,E
jspwiki-builder,2019-09-14 17:11:21+02:00,83,D,2552,A,169,E
jspwiki-builder,2019-09-14 17:25:31+02:00,83,D,2552,A,172,E
jspwiki-builder,2019-10-12 19:16:20+02:00,63,D,2526,A,172,E
jspwiki-builder,2019-10-12 19:31:43+02:00,63,D,2524,A,172,E
jspwiki-builder,2019-11-05 20:30:38+01:00,79,D,2540,A,169,E
jspwiki-builder,2019-12-07 01:55:01+01:00,79,D,2533,A,172,E
jspwiki-builder,2019-12-12 16:40:32+01:00,79,D,2533,A,169,E
jspwiki-builder,2020-01-09 23:22:22+01:00,60,D,2432,A,214,E
jspwiki-builder,2020-01-17 00:13:29+01:00,78,D,2417,A,212,E
jspwiki-builder,2020-02-17 18:07:58+01:00,77,D,2372,A,211,E
jspwiki-builder,2020-03-16 23:10:28+01:00,71,D,2286,A,215,E
jspwiki-builder,2020-04-09 22:44:16+02:00,68,D,2241,A,194,E
jspwiki-builder,2020-05-05 21:52:27+02:00,68,D,2241,A,196,E
jspwiki-builder,2020-05-21 21:45:24+02:00,68,D,3399,A,193,E
jspwiki-builder,2020-05-23 21:42:15+02:00,68,D,3399,A,193,E
jspwiki-builder,2020-05-25 19:57:04+02:00,68,D,3400,A,193,E
jspwiki-builder,2020-05-25 20:19:12+02:00,68,D,3400,A,193,E
jspwiki-builder,2020-07-05 22:03:28+02:00,68,D,3398,A,193,E
jspwiki-builder,2020-08-19 16:34:46+02:00,68,D,3405,A,177,E
jspwiki-builder,2020-09-30 22:49:04+02:00,70,D,3396,A,142,E
jspwiki-builder,2020-10-14 20:03:32+02:00,71,D,3401,A,129,E
jspwiki-builder,2020-11-07 21:37:47+01:00,69,D,3429,A,122,E
jspwiki-builder,2020-11-29 23:06:07+01:00,69,D,3429,A,122,E
jspwiki-builder,2020-12-09 15:34:36+01:00,69,D,3428,A,122,E
jspwiki-builder,2020-12-17 20:36:12+01:00,70,D,3404,A,122,E
jspwiki-builder,2020-12-28 18:36:10+01:00,70,D,3397,A,122,E
jspwiki-builder,2021-01-18 09:32:12+01:00,70,D,3383,A,125,E
jspwiki-builder,2021-02-12 08:26:34+01:00,70,D,3383,A,124,E
jspwiki-builder,2021-02-23 07:54:07+01:00,70,D,3396,A,122,E
jspwiki-builder,2021-03-01 09:34:11+01:00,70,D,3396,A,124,E
jspwiki-builder,2021-03-09 22:50:41+01:00,71,D,3419,A,124,E
jspwiki-builder,2021-03-24 07:56:01+01:00,74,D,3411,A,122,E
jspwiki-builder,2021-03-29 10:10:40+02:00,74,D,3411,A,122,E
jspwiki-builder,2021-04-16 08:59:38+02:00,74,D,3411,A,123,E
jspwiki-builder,2021-04-21 08:44:06+02:00,74,D,3422,A,123,E
jspwiki-builder,2021-04-23 08:49:48+02:00,74,D,3422,A,123,E
jspwiki-builder,2021-04-24 11:35:28+02:00,74,D,3421,A,123,E
jspwiki-builder,2021-04-24 11:35:56+02:00,74,D,3421,A,123,E
jspwiki-builder,2021-04-24 11:36:02+02:00,74,D,3421,A,123,E
jspwiki-builder,2021-04-24 11:36:22+02:00,74,D,3421,A,122,E
jspwiki-builder,2021-04-24 11:37:26+02:00,74,D,3421,A,123,E
jspwiki-builder,2021-04-24 11:37:32+02:00,74,D,3421,A,123,E
jspwiki-builder,2021-04-24 11:40:33+02:00,74,D,3421,A,123,E
jspwiki-builder,2021-04-24 11:59:37+02:00,74,D,3421,A,123,E
jspwiki-builder,2021-04-24 12:01:18+02:00,74,D,3421,A,123,E
jspwiki-builder,2021-04-24 12:03:06+02:00,74,D,3421,A,122,E
jspwiki-builder,2021-04-24 15:03:50+02:00,74,D,3421,A,123,E
jspwiki-builder,2021-04-24 15:04:06+02:00,74,D,3421,A,123,E
jspwiki-builder,2021-04-24 16:05:32+02:00,74,D,3421,A,122,E
jspwiki-builder,2021-04-24 16:09:11+02:00,74,D,3421,A,123,E
jspwiki-builder,2021-04-24 16:09:13+02:00,74,D,3421,A,123,E
jspwiki-builder,2021-04-24 17:13:50+02:00,74,D,3421,A,123,E
jspwiki-builder,2021-04-24 18:37:43+02:00,74,D,3421,A,123,E
jspwiki-builder,2021-04-24 18:38:10+02:00,74,D,3421,A,123,E
jspwiki-builder,2021-04-24 20:06:46+02:00,74,D,3421,A,123,E
jspwiki-builder,2021-04-24 20:30:03+02:00,74,D,3421,A,123,E
jspwiki-builder,2021-04-24 20:53:24+02:00,74,D,3421,A,123,E
