project,date,no_bugs,bugs_rating,no_code_smells,code_smells_rating,no_vulnerabilities,vulnerabilities_rating
apache_openmeetings,2019-06-13 05:57:57+02:00,294,C,1392,A,28,E
apache_openmeetings,2019-06-29 07:29:23+02:00,17,C,910,A,0,A
apache_openmeetings,2019-07-03 08:25:58+02:00,17,C,910,A,1,B
apache_openmeetings,2019-07-11 20:59:07+02:00,17,C,908,A,0,A
apache_openmeetings,2019-08-21 16:11:38+02:00,293,C,918,A,7,E
apache_openmeetings,2019-09-22 03:46:52+02:00,20,D,915,A,0,A
apache_openmeetings,2019-10-15 17:25:15+02:00,30,D,915,A,0,A
apache_openmeetings,2019-11-20 18:22:38+01:00,23,D,915,A,0,A
apache_openmeetings,2019-12-11 13:23:50+01:00,23,D,917,A,0,A
apache_openmeetings,2020-01-09 13:00:34+01:00,75,D,1033,A,0,A
apache_openmeetings,2020-01-14 17:36:19+01:00,70,C,989,A,0,A
apache_openmeetings,2020-02-05 09:25:59+01:00,25,C,1034,A,0,A
apache_openmeetings,2020-02-13 17:38:32+01:00,25,C,1034,A,0,A
apache_openmeetings,2020-02-28 04:44:35+01:00,162,C,1082,A,3,D
apache_openmeetings,2020-03-12 17:45:26+01:00,34,E,800,A,1,E
apache_openmeetings,2020-04-16 17:53:58+02:00,12,C,799,A,0,A
apache_openmeetings,2020-04-19 13:04:48+02:00,6,C,806,A,0,A
apache_openmeetings,2020-04-21 17:27:04+02:00,6,C,806,A,0,A
apache_openmeetings,2020-05-18 19:31:14+02:00,3,C,1131,A,0,A
apache_openmeetings,2020-06-03 06:51:41+02:00,3,C,1139,A,0,A
apache_openmeetings,2020-06-25 10:30:03+02:00,3,C,1145,A,0,A
apache_openmeetings,2020-07-13 18:44:59+02:00,3,C,1146,A,0,A
apache_openmeetings,2020-07-14 02:29:44+02:00,3,C,1146,A,0,A
apache_openmeetings,2020-07-27 00:23:45+02:00,4,D,1145,A,0,A
apache_openmeetings,2020-08-17 20:05:26+02:00,4,D,1362,A,3,B
apache_openmeetings,2020-09-19 06:05:54+02:00,4,D,497,A,0,A
apache_openmeetings,2020-09-25 10:42:46+02:00,4,D,497,A,0,A
apache_openmeetings,2020-09-30 16:06:42+02:00,4,D,496,A,0,A
apache_openmeetings,2020-10-11 11:01:06+02:00,4,D,528,A,0,A
apache_openmeetings,2020-10-16 17:45:44+02:00,4,D,522,A,0,A
apache_openmeetings,2020-10-23 19:01:00+02:00,6,D,492,A,0,A
apache_openmeetings,2020-11-17 10:06:24+01:00,5,D,485,A,0,A
apache_openmeetings,2020-12-01 17:27:07+01:00,5,D,437,A,0,A
apache_openmeetings,2020-12-16 17:26:07+01:00,5,C,438,A,1,B
apache_openmeetings,2020-12-28 17:33:51+01:00,4,C,403,A,0,A
apache_openmeetings,2021-01-18 04:11:03+01:00,4,C,403,A,1,B
apache_openmeetings,2021-02-08 08:13:50+01:00,4,C,401,A,0,A
apache_openmeetings,2021-02-17 15:11:26+01:00,4,C,404,A,0,A
apache_openmeetings,2021-02-19 21:11:52+01:00,4,C,404,A,0,A
apache_openmeetings,2021-02-24 13:26:59+01:00,5,C,406,A,0,A
apache_openmeetings,2021-03-05 08:11:09+01:00,5,C,400,A,0,A
apache_openmeetings,2021-03-24 14:17:29+01:00,8,C,399,A,0,A
apache_openmeetings,2021-03-27 01:16:59+01:00,5,C,356,A,0,A
apache_openmeetings,2021-04-15 16:32:16+02:00,5,C,357,A,0,A
apache_openmeetings,2021-04-26 04:17:35+02:00,5,C,1340,A,0,A
apache_openmeetings,2021-05-01 07:19:43+02:00,5,C,1340,A,0,A
apache_openmeetings,2021-05-08 16:33:57+02:00,5,C,1340,A,12,B
apache_openmeetings,2021-05-13 19:13:32+02:00,5,C,1340,A,12,B
apache_openmeetings,2021-05-25 16:35:44+02:00,5,C,1340,A,12,B
apache_openmeetings,2021-05-30 10:28:34+02:00,5,C,1340,A,12,B
apache_openmeetings,2021-06-07 20:17:03+02:00,5,C,1340,A,12,B
apache_openmeetings,2021-06-09 21:15:29+02:00,5,C,1338,A,12,B
