project,date,no_bugs,bugs_rating,no_code_smells,code_smells_rating,no_vulnerabilities,vulnerabilities_rating
pdfbox-reactor,2019-11-09 15:32:26+01:00,195,E,2268,A,64,E
pdfbox-reactor,2019-12-30 15:07:22+01:00,60,E,2089,A,54,B
pdfbox-reactor,2020-01-08 12:55:35+01:00,60,E,2107,A,62,E
pdfbox-reactor,2020-02-17 12:56:03+01:00,48,E,2036,A,54,E
pdfbox-reactor,2020-03-15 12:55:40+01:00,48,E,2027,A,58,E
pdfbox-reactor,2020-04-16 16:12:13+02:00,46,E,2030,A,58,E
pdfbox-reactor,2020-04-22 20:50:52+02:00,46,E,1987,A,58,E
pdfbox-reactor,2020-05-18 14:05:29+02:00,49,E,2079,A,50,E
pdfbox-reactor,2020-06-24 13:58:10+02:00,46,E,2076,A,49,E
pdfbox-reactor,2020-06-25 19:27:18+02:00,46,E,2075,A,49,E
pdfbox-reactor,2020-07-13 20:04:17+02:00,46,E,2062,A,49,E
pdfbox-reactor,2020-07-15 08:45:15+02:00,46,E,2062,A,49,E
pdfbox-reactor,2020-07-15 09:00:24+02:00,46,E,2062,A,49,E
pdfbox-reactor,2020-07-16 09:03:31+02:00,46,E,2064,A,49,E
pdfbox-reactor,2020-07-20 20:18:08+02:00,46,E,2070,A,49,E
pdfbox-reactor,2020-07-22 08:26:03+02:00,46,E,2073,A,49,E
pdfbox-reactor,2020-07-22 10:30:26+02:00,46,E,2070,A,49,E
pdfbox-reactor,2020-07-25 14:19:38+02:00,45,E,2075,A,49,E
pdfbox-reactor,2020-08-02 16:54:11+02:00,46,E,2071,A,49,E
pdfbox-reactor,2020-08-03 23:08:14+02:00,45,E,2071,A,49,E
pdfbox-reactor,2020-08-26 20:52:02+02:00,46,E,2047,A,49,E
pdfbox-reactor,2020-09-25 14:18:40+02:00,40,E,1917,A,49,E
pdfbox-reactor,2020-10-09 14:19:24+02:00,40,E,1962,A,49,E
pdfbox-reactor,2020-11-16 13:18:01+01:00,40,E,2518,A,49,E
pdfbox-reactor,2020-12-15 10:30:19+01:00,38,E,1831,A,39,B
pdfbox-reactor,2021-01-15 13:17:08+01:00,35,E,1792,A,39,D
pdfbox-reactor,2021-02-06 11:05:40+01:00,35,E,1759,A,39,D
pdfbox-reactor,2021-02-15 17:16:10+01:00,35,E,1759,A,39,D
pdfbox-reactor,2021-02-19 13:34:32+01:00,35,E,1760,A,39,D
pdfbox-reactor,2021-02-26 10:36:19+01:00,35,E,1762,A,39,D
pdfbox-reactor,2021-03-23 08:45:46+01:00,30,E,1739,A,39,D
pdfbox-reactor,2021-04-19 14:17:30+02:00,29,E,1685,A,39,D
pdfbox-reactor,2021-05-01 14:17:46+02:00,29,E,1688,A,39,D
pdfbox-reactor,2021-05-22 17:15:12+02:00,35,E,1683,A,40,D
pdfbox-reactor,2021-05-29 05:11:10+02:00,35,E,1685,A,38,D
pdfbox-reactor,2021-06-05 14:52:48+02:00,36,E,1686,A,38,D
pdfbox-reactor,2021-06-06 14:28:46+02:00,35,E,1686,A,38,D
pdfbox-reactor,2021-06-07 14:17:28+02:00,35,E,1685,A,38,D
pdfbox-reactor,2021-06-08 14:18:02+02:00,35,E,1685,A,38,D
pdfbox-reactor,2021-06-09 14:18:14+02:00,35,E,1685,A,38,D
pdfbox-reactor,2021-06-10 14:17:58+02:00,35,E,1675,A,38,D
pdfbox-reactor,2021-06-12 15:37:22+02:00,35,E,1668,A,38,D
pdfbox-reactor,2021-06-13 19:43:22+02:00,35,E,1668,A,38,D
