project,date,no_bugs,bugs_rating,no_code_smells,code_smells_rating,no_vulnerabilities,vulnerabilities_rating
apache_plc4x,2019-08-12 01:23:43+02:00,29,E,1051,A,4,E
apache_plc4x,2019-08-21 20:27:08+02:00,28,E,1072,A,4,E
apache_plc4x,2019-09-18 14:49:06+02:00,1,E,207,A,1,B
apache_plc4x,2019-10-09 14:25:59+02:00,1,E,251,A,2,B
apache_plc4x,2019-10-17 16:26:09+02:00,3,E,285,A,7,B
apache_plc4x,2019-10-21 18:58:28+02:00,3,E,270,A,7,B
apache_plc4x,2019-11-03 21:11:21+01:00,28,E,1403,A,23,E
apache_plc4x,2019-12-31 19:35:10+01:00,33,E,1706,A,32,E
apache_plc4x,2020-01-12 12:52:24+01:00,33,E,1715,A,32,E
apache_plc4x,2020-01-13 16:06:53+01:00,33,E,1715,A,32,E
apache_plc4x,2020-02-17 13:08:57+01:00,27,E,1232,A,29,E
apache_plc4x,2020-03-11 09:38:50+01:00,5,E,1303,A,32,E
apache_plc4x,2020-04-16 20:26:59+02:00,10,E,1478,A,37,E
apache_plc4x,2020-04-27 11:57:01+02:00,10,E,1478,A,37,E
apache_plc4x,2020-05-15 13:06:59+02:00,10,E,1482,A,37,E
apache_plc4x,2020-05-19 08:25:59+02:00,10,E,1710,A,13,E
apache_plc4x,2020-06-23 13:53:45+02:00,10,E,1805,A,13,E
apache_plc4x,2020-07-20 20:01:13+02:00,11,D,1817,A,13,E
apache_plc4x,2020-08-28 17:31:08+02:00,15,D,1888,A,13,E
apache_plc4x,2020-09-26 18:09:56+02:00,29,D,2051,A,13,E
apache_plc4x,2020-10-08 20:08:36+02:00,29,D,2056,A,13,E
apache_plc4x,2020-11-28 13:12:52+01:00,32,D,2054,A,15,E
apache_plc4x,2020-12-15 09:58:47+01:00,36,D,2213,A,15,E
apache_plc4x,2021-01-15 15:53:41+01:00,44,D,2358,A,15,E
apache_plc4x,2021-01-25 12:44:06+01:00,45,D,2287,A,15,E
apache_plc4x,2021-02-05 14:47:39+01:00,49,E,2309,A,13,E
apache_plc4x,2021-02-17 02:48:30+01:00,49,E,2308,A,13,E
apache_plc4x,2021-02-19 13:22:51+01:00,49,E,2308,A,13,E
apache_plc4x,2021-02-24 10:10:44+01:00,46,D,2334,A,13,E
apache_plc4x,2021-03-22 12:04:03+01:00,64,D,2327,A,12,E
apache_plc4x,2021-04-19 14:15:52+02:00,62,D,2142,A,12,E
apache_plc4x,2021-05-01 10:27:48+02:00,63,E,2219,A,13,E
apache_plc4x,2021-05-21 11:56:15+02:00,63,E,2167,A,13,E
apache_plc4x,2021-05-26 21:11:23+02:00,63,D,2141,A,12,E
apache_plc4x,2021-05-27 13:16:56+02:00,98,E,6759,A,11,E
apache_plc4x,2021-06-04 14:11:03+02:00,67,E,6628,A,11,E
apache_plc4x,2021-06-07 18:20:55+02:00,64,E,6604,A,11,E
apache_plc4x,2021-06-13 19:53:18+02:00,64,E,6623,A,11,E
