project,date,no_bugs,bugs_rating,no_code_smells,code_smells_rating,no_vulnerabilities,vulnerabilities_rating
poi-parent,2019-11-17 10:30:26+01:00,281,E,13411,A,92,E
poi-parent,2019-12-31 10:34:20+01:00,158,C,13500,A,62,B
poi-parent,2020-01-08 01:50:49+01:00,171,E,13611,A,68,E
poi-parent,2020-01-21 20:17:55+01:00,158,C,13406,A,64,B
poi-parent,2020-01-31 10:47:14+01:00,157,C,13366,A,64,B
poi-parent,2020-02-21 22:52:54+01:00,163,C,13329,A,66,E
poi-parent,2020-03-19 22:06:15+01:00,161,C,13336,A,70,E
poi-parent,2020-04-17 09:50:30+02:00,95,C,11660,A,66,B
poi-parent,2020-04-21 09:47:41+02:00,9,C,11439,A,66,B
poi-parent,2020-05-16 09:50:07+02:00,9,C,11255,A,66,B
poi-parent,2020-05-27 09:49:18+02:00,14,D,11339,A,66,B
poi-parent,2020-06-16 09:48:21+02:00,17,D,11341,A,66,B
poi-parent,2020-10-24 10:15:38+02:00,38,E,11311,A,70,E
poi-parent,2020-11-28 19:14:43+01:00,28,E,12743,A,72,E
poi-parent,2020-12-16 00:25:18+01:00,29,E,12107,A,72,E
poi-parent,2021-01-12 09:18:12+01:00,12,E,11030,A,19,E
poi-parent,2021-01-16 00:03:48+01:00,14,E,12389,A,21,E
poi-parent,2021-02-06 16:30:25+01:00,15,E,12036,A,21,E
poi-parent,2021-02-15 14:33:30+01:00,15,E,12038,A,20,D
poi-parent,2021-02-20 03:05:57+01:00,15,E,12042,A,20,D
poi-parent,2021-02-24 10:02:50+01:00,15,E,10624,A,20,D
poi-parent,2021-03-24 09:16:47+01:00,16,E,10573,A,20,D
poi-parent,2021-04-07 10:17:35+02:00,16,E,10573,A,20,D
poi-parent,2021-04-14 14:38:13+02:00,19,E,10602,A,2,D
poi-parent,2021-04-15 10:16:54+02:00,19,E,10579,A,2,D
poi-parent,2021-04-16 11:03:34+02:00,19,E,10579,A,2,D
poi-parent,2021-04-19 10:16:27+02:00,19,E,10577,A,2,D
poi-parent,2021-04-19 20:04:22+02:00,19,E,11885,A,2,D
poi-parent,2021-04-20 10:47:22+02:00,19,E,10484,A,2,D
poi-parent,2021-04-23 10:16:08+02:00,19,E,10485,A,2,D
poi-parent,2021-04-26 10:16:03+02:00,21,E,10486,A,2,D
poi-parent,2021-04-26 17:36:29+02:00,21,E,10489,A,2,D
poi-parent,2021-05-03 00:05:20+02:00,21,E,11891,A,2,D
poi-parent,2021-05-15 09:41:37+02:00,48,E,12068,A,2,D
poi-parent,2021-05-22 09:49:53+02:00,49,E,11978,A,2,D
poi-parent,2021-05-27 09:49:56+02:00,49,E,11973,A,2,D
poi-parent,2021-06-10 10:07:46+02:00,49,E,11955,A,2,D
