issue_type,issue_component,creator_name,creator_display_name,reporter_name,reporter_display_name,priority,description,labels,created,resolution,updated,status,id,key
Bug,[],elek,Marton Elek,elek,Marton Elek,Major,Just a version bump after the 0.7.0 release of ratis-thirdparty,[],2021-06-14 07:02:33+00:00,,2021-06-14 07:56:57+00:00,Open,13383669,RATIS-1382
Bug,[],hanishakoneru,Hanisha Koneru,hanishakoneru,Hanisha Koneru,Major,"MetricsRegistriesImpl throws a warning when creating RatisMetricsRegistry without registering any reporters beforehand.
{code:java}
@Override
public RatisMetricRegistry create(MetricRegistryInfo info) {
  return registries.put(info, () -> {
    if (reporterRegistrations.isEmpty()) {
      LOG.warn(
          ""First MetricRegistry has been created without registering reporters. You may need to call"" +
              "" MetricRegistries.global().addReporterRegistration(...) before."");
      StackTraceElement[] stackTrace = Thread.currentThread().getStackTrace();
      for(StackTraceElement element : stackTrace) {
        LOG.warn(""     "" + element.getClassName() + "" - "" + element.getMethodName() + "" - "" +
            element.getLineNumber());
      }
    }
    RatisMetricRegistry registry = factory.create(info);
    reporterRegistrations.forEach(reg -> reg.accept(registry));
    return registry;
  });
}
{code}
This leads to a lot of noise in the logs as every ratis client logs this message. 
{code:java}
21/06/02 12:37:35 INFO metrics.RatisMetrics: Creating Metrics Registry : ratis.client_message_metrics.client-CBAF50A69A13->24ecdbe1-e8c3-4211-94fc-31429681f184
21/06/02 12:37:35 WARN impl.MetricRegistriesImpl: First MetricRegistry has been created without registering reporters. You may need to call MetricRegistries.global().addReporterRegistration(...) before.
21/06/02 12:37:40 INFO metrics.RatisMetrics: Creating Metrics Registry : ratis.client_message_metrics.client-1A65382B9313->082aff6d-b8b6-435b-993e-1b3b37b9770b
21/06/02 12:37:40 WARN impl.MetricRegistriesImpl: First MetricRegistry has been created without registering reporters. You may need to call MetricRegistries.global().addReporterRegistration(...) before.
21/06/02 12:37:44 INFO metrics.RatisMetrics: Creating Metrics Registry : ratis.client_message_metrics.client-530530878B2F->06c72e97-a5ea-4474-b73c-5642d30ee3cf
21/06/02 12:37:44 WARN impl.MetricRegistriesImpl: First MetricRegistry has been created without registering reporters. You may need to call MetricRegistries.global().addReporterRegistration(...) before.
21/06/02 12:37:52 INFO metrics.RatisMetrics: Creating Metrics Registry : ratis.client_message_metrics.client-B39FB0CD2151->24ecdbe1-e8c3-4211-94fc-31429681f184
21/06/02 12:37:52 WARN impl.MetricRegistriesImpl: First MetricRegistry has been created without registering reporters. You may need to call MetricRegistries.global().addReporterRegistration(...) before.
21/06/02 12:37:57 INFO metrics.RatisMetrics: Creating Metrics Registry : ratis.client_message_metrics.client-12092E53EF9C->082aff6d-b8b6-435b-993e-1b3b37b9770b
21/06/02 12:37:57 WARN impl.MetricRegistriesImpl: First MetricRegistry has been created without registering reporters. You may need to call MetricRegistries.global().addReporterRegistration(...) before.
21/06/02 12:38:00 INFO metrics.RatisMetrics: Creating Metrics Registry : ratis.client_message_metrics.client-89C870BA12C6->d5196d6f-753d-4113-87ef-2bfbba66c2af
21/06/02 12:38:00 WARN impl.MetricRegistriesImpl: First MetricRegistry has been created without registering reporters. You may need to call MetricRegistries.global().addReporterRegistration(...) before.
21/06/02 12:38:03 INFO metrics.RatisMetrics: Creating Metrics Registry : ratis.client_message_metrics.client-A9412DBA8690->06c72e97-a5ea-4474-b73c-5642d30ee3cf
21/06/02 12:38:03 WARN impl.MetricRegistriesImpl: First MetricRegistry has been created without registering reporters. You may need to call MetricRegistries.global().addReporterRegistration(...) before.
21/06/02 12:38:25 INFO metrics.RatisMetrics: Creating Metrics Registry : ratis.client_message_metrics.client-49743027A7AD->d5196d6f-753d-4113-87ef-2bfbba66c2af
21/06/02 12:38:25 WARN impl.MetricRegistriesImpl: First MetricRegistry has been created without registering reporters. You may need to call MetricRegistries.global().addReporterRegistration(...) before.
{code}
We can remove the warning message or at the least change it to debug level.

cc. [~elek]",[],2021-06-10 16:27:14+00:00,,2021-06-14 08:09:25+00:00,Open,13383238,RATIS-1381
Improvement,[],iamazy,iamazy,iamazy,iamazy,Minor,Fix typo in org.apache.ratis.protocol.RaftRpcMessage#getRequesterId,[],2021-06-10 02:06:38+00:00,,2021-06-10 02:14:39+00:00,Open,13383071,RATIS-1380
New Feature,[],txdong-sz,donglei,txdong-sz,donglei,Major,"!image-2021-06-09-16-37-41-716.png!

 

!image-2021-06-09-16-38-00-460.png! some data have execute with state machine with restart  that will re execute from last snapshot index

 ",[],2021-06-09 08:38:57+00:00,,2021-06-09 08:38:57+00:00,Open,13382886,RATIS-1379
Bug,[],elek,Marton Elek,elek,Marton Elek,Major,The test certificates under test/src/test/resources/ssl are expired. We need to regenerate them. I suggest to use longer expiry date (10 years instead of 1),[],2021-06-04 13:10:18+00:00,2021-06-14 07:41:01+00:00,2021-06-14 07:52:34+00:00,Resolved,13382143,RATIS-1378
Improvement,[],markgui,Mark Gui,markgui,Mark Gui,Major,"We are using ozone with ratis for our services and we hit an issue with disk out of space. We checked the log and think that it is that ratis has run out of space and ozone pipelines (raftgroups for ratis) created on the full disk are not able to close because it has to take a final snapshot. short log appended below.
{code:java}
2021-05-25 19:10:47,171 [492bc1be-439e-45db-856f-2e58336e2528@group-B26E6BC26E24-StateMachineUpdater] INFO org.apache.hadoop.ozone.container.common.transport.server.ratis.ContainerStateMachine: group-B26E6BC26E24: Taking a snapshot at:(t:5, i:419) file /data1/ratis/c5a9bc6e-fee1-48a8-9100-b26e6bc26e24/sm/snapshot.5_419 2021-05-25 19:10:47,171 [492bc1be-439e-45db-856f-2e58336e2528@group-B26E6BC26E24-StateMachineUpdater] ERROR org.apache.hadoop.ozone.container.common.transport.server.ratis.ContainerStateMachine: group-B26E6BC26E24: Failed to write snapshot at:(t:5, i:419) file /data1/ratis/c5a9bc6e-fee1-48a8-9100-b26e6bc26e24/sm/snapshot.5_419 2021-05-25 19:10:47,171 [492bc1be-439e-45db-856f-2e58336e2528@group-B26E6BC26E24-StateMachineUpdater] ERROR org.apache.ratis.server.impl.StateMachineUpdater: 492bc1be-439e-45db-856f-2e58336e2528@group-B26E6BC26E24-StateMachineUpdater: Failed to take snapshot java.io.IOException: No space left on device at java.io.FileOutputStream.writeBytes(Native Method) at java.io.FileOutputStream.write(FileOutputStream.java:326) at org.apache.ratis.thirdparty.com.google.protobuf.CodedOutputStream$OutputStreamEncoder.doFlush(CodedOutputStream.java:3062) at org.apache.ratis.thirdparty.com.google.protobuf.CodedOutputStream$OutputStreamEncoder.flushIfNotAvailable(CodedOutputStream.java:3057) at org.apache.ratis.thirdparty.com.google.protobuf.CodedOutputStream$OutputStreamEncoder.writeUInt64NoTag(CodedOutputStream.java:2897) at org.apache.ratis.thirdparty.com.google.protobuf.CodedOutputStream.writeInt64NoTag(CodedOutputStream.java:414) at org.apache.ratis.thirdparty.com.google.protobuf.FieldSet.writeElementNoTag(FieldSet.java:657) at org.apache.ratis.thirdparty.com.google.protobuf.FieldSet.writeElement(FieldSet.java:634) at org.apache.ratis.thirdparty.com.google.protobuf.MapEntryLite.writeTo(MapEntryLite.java:110) at org.apache.ratis.thirdparty.com.google.protobuf.MapEntry.writeTo(MapEntry.java:154) at org.apache.ratis.thirdparty.com.google.protobuf.CodedOutputStream$OutputStreamEncoder.writeMessageNoTag(CodedOutputStream.java:2855) at org.apache.ratis.thirdparty.com.google.protobuf.CodedOutputStream$OutputStreamEncoder.writeMessage(CodedOutputStream.java:2824) at org.apache.ratis.thirdparty.com.google.protobuf.GeneratedMessageV3.serializeMapTo(GeneratedMessageV3.java:3224) at org.apache.ratis.thirdparty.com.google.protobuf.GeneratedMessageV3.serializeLongMapTo(GeneratedMessageV3.java:3140) at org.apache.hadoop.hdds.protocol.datanode.proto.ContainerProtos$Container2BCSIDMapProto.writeTo(ContainerProtos.java:14633) at org.apache.ratis.thirdparty.com.google.protobuf.AbstractMessageLite.writeTo(AbstractMessageLite.java:83) at org.apache.hadoop.ozone.container.common.transport.server.ratis.ContainerStateMachine.persistContainerSet(ContainerStateMachine.java:270) at org.apache.hadoop.ozone.container.common.transport.server.ratis.ContainerStateMachine.takeSnapshot(ContainerStateMachine.java:294) at org.apache.ratis.server.impl.StateMachineUpdater.takeSnapshot(StateMachineUpdater.java:265) at org.apache.ratis.server.impl.StateMachineUpdater.checkAndTakeSnapshot(StateMachineUpdater.java:257) at org.apache.ratis.server.impl.StateMachineUpdater.run(StateMachineUpdater.java:183) at java.lang.Thread.run(Thread.java:748)
{code}
So I think as the consumer of the disk, ratis should be able to mange the free/used space and have some guarantee that operations should not be partial completed due to out of space. We may build a reserved space for each disk in ratis and filter out disks which reach the defined threshold for new raftgroup allocation. Although the problem we hit happened on ozone side, but as the comsumer of the metadata disks, this should better be done in ratis.",[],2021-05-31 08:54:35+00:00,2021-06-10 06:37:42+00:00,2021-06-10 06:37:42+00:00,Resolved,13381241,RATIS-1377
Sub-task,[],yjxxtd,runzhiwang,yjxxtd,runzhiwang,Major,"[~szetszwo] I find the main used memory caused by SlidingWindow#Client#requests, because when send DataStreamWindowRequest with data, SlidingWindow#Client#requests will hold DataStreamWindowRequest until receive reply. Because DataStreamWindowRequest has data, so the memory used a lot. Still do not know how to improve it.  Not sure whether SlidingWindow is necessary.
 !screenshot-1.png! ",[],2021-05-11 02:49:29+00:00,2021-05-13 02:18:16+00:00,2021-05-13 02:18:16+00:00,Resolved,13377720,RATIS-1376
Bug,[],markgui,Mark Gui,markgui,Mark Gui,Major,"When testing ozone with bad ratis volume, we hit the following log:

``` 

{{2021-05-06 18:19:48,166 [Command processor thread] ERROR org.apache.hadoop.ozone.container.common.statemachine.commandhandler.CreatePipelineCommandHandler: Can't create pipeline RATIS THREE PipelineID=08de41a6-5c9e-48d4-9789-4c09798ecffd
 java.io.IOException: Input/output error
 at org.apache.hadoop.ozone.container.common.transport.server.ratis.XceiverServerRatis.addGroup(XceiverServerRatis.java:805)
 at org.apache.hadoop.ozone.container.common.statemachine.commandhandler.CreatePipelineCommandHandler.handle(CreatePipelineCommandHandler.java:92)
 at org.apache.hadoop.ozone.container.common.statemachine.commandhandler.CommandDispatcher.handle(CommandDispatcher.java:99)
 at org.apache.hadoop.ozone.container.common.statemachine.DatanodeStateMachine.lambda$initCommandHandlerThread$2(DatanodeStateMachine.java:506)
 at java.lang.Thread.run(Thread.java:748)
 Caused by: java.io.IOException: Input/output error
 at java.io.UnixFileSystem.canonicalize0(Native Method)
 at java.io.UnixFileSystem.canonicalize(UnixFileSystem.java:172)
 at java.io.File.getCanonicalPath(File.java:620)
 at org.apache.ratis.server.storage.RaftStorageDirectoryImpl.analyzeStorage(RaftStorageDirectoryImpl.java:129)
 at org.apache.ratis.server.storage.RaftStorageImpl.analyzeAndRecoverStorage(RaftStorageImpl.java:95)
 at org.apache.ratis.server.storage.RaftStorageImpl.<init>(RaftStorageImpl.java:65)
 at org.apache.ratis.server.storage.RaftStorageImpl.<init>(RaftStorageImpl.java:51)
 at org.apache.ratis.server.impl.ServerState.<init>(ServerState.java:112)
 at org.apache.ratis.server.impl.RaftServerImpl.<init>(RaftServerImpl.java:193)
 at org.apache.ratis.server.impl.RaftServerProxy.lambda$newRaftServerImpl$4(RaftServerProxy.java:266)
 at java.util.concurrent.CompletableFuture$AsyncSupply.run(CompletableFuture.java:1604)
 at java.util.concurrent.ThreadPoolExecutor.runWorker(ThreadPoolExecutor.java:1149)
 at java.util.concurrent.ThreadPoolExecutor$Worker.run(ThreadPoolExecutor.java:624)
 ... 1 more}}

```

RaftServer does not catch the IOException and just throw it.

Actually when we have multiple storageDirs, we could try other dirs.",[],2021-05-07 13:05:12+00:00,2021-05-12 03:30:44+00:00,2021-06-03 06:56:43+00:00,Resolved,13377236,RATIS-1375
Task,[],softgitron,Roni Juntunen,softgitron,Roni Juntunen,Major,"Many IDEs support code style configurations that can be supplied in a git repository. It could be good idea to add code style configurations for most common IDEs like IntelliJ IDEA, Eclipse, NetBeans and VS code. Proper presets should prevent bad indentations in PRs and save reviewers time.",[],2021-05-04 16:54:51+00:00,,2021-05-04 16:54:51+00:00,Open,13376600,RATIS-1374
Sub-task,[],yjxxtd,runzhiwang,yjxxtd,runzhiwang,Major,"We use StreamInfo#applyToRemotes to transfer data to to other server, and eventually we call OrderedStreamAsync#sendRequest. So StreamInfo#applyToRemotes finished after sending out request, but sometimes OrderedStreamAsync#sendRequest costs hundred millseconds. So we need to make StreamInfo#applyToRemotes async model, and also keep the order of request belongs to the same stream. ",[],2021-04-29 02:25:22+00:00,2021-04-29 06:17:18+00:00,2021-04-29 06:17:38+00:00,Resolved,13375720,RATIS-1373
