project,date,no_bugs,bugs_rating,no_code_smells,code_smells_rating,no_vulnerabilities,vulnerabilities_rating
apache_struts,2020-01-24 14:55:43+01:00,526,E,6029,A,157,E
apache_struts,2020-02-08 19:01:45+01:00,520,E,5998,A,157,E
apache_struts,2020-02-17 21:14:08+01:00,526,E,6029,A,155,E
apache_struts,2020-04-04 18:46:28+02:00,524,E,6103,A,157,E
apache_struts,2020-04-11 18:59:48+02:00,524,E,6103,A,158,E
apache_struts,2020-04-12 11:30:27+02:00,524,E,6104,A,158,E
apache_struts,2020-04-19 10:31:18+02:00,524,E,7563,A,158,E
apache_struts,2020-04-22 14:25:14+02:00,524,E,7563,A,164,E
apache_struts,2020-05-01 07:44:20+02:00,524,E,7566,A,164,E
apache_struts,2020-05-18 22:43:05+02:00,524,E,7630,A,147,E
apache_struts,2020-06-09 11:08:09+02:00,524,E,7628,A,154,E
apache_struts,2020-07-05 08:45:15+02:00,524,E,7630,A,153,E
apache_struts,2020-07-07 17:00:45+02:00,524,E,7632,A,154,E
apache_struts,2020-07-21 08:49:23+02:00,523,E,7642,A,144,E
apache_struts,2020-08-30 23:21:50+02:00,524,E,7694,A,137,E
apache_struts,2020-09-21 10:27:46+02:00,525,E,7696,A,137,E
apache_struts,2020-10-09 19:51:42+02:00,530,E,7734,A,129,E
apache_struts,2020-11-05 07:54:39+01:00,530,E,7734,A,129,E
apache_struts,2020-11-14 09:54:53+01:00,530,E,7734,A,129,E
apache_struts,2020-11-18 07:34:01+01:00,530,E,7734,A,129,E
apache_struts,2020-12-17 10:57:36+01:00,523,E,7303,A,129,E
apache_struts,2021-01-23 17:23:51+01:00,521,E,7476,A,129,E
apache_struts,2021-02-08 07:31:15+01:00,185,E,6859,A,117,E
apache_struts,2021-02-28 09:02:49+01:00,185,E,6859,A,116,E
apache_struts,2021-03-22 11:08:08+01:00,185,E,6860,A,116,E
apache_struts,2021-03-22 11:51:43+01:00,186,E,6858,A,115,E
apache_struts,2021-03-23 17:06:41+01:00,187,E,6858,A,115,E
apache_struts,2021-04-17 08:12:59+02:00,187,E,6852,A,115,E
apache_struts,2021-05-04 07:14:03+02:00,187,E,6918,A,115,E
apache_struts,2021-05-04 21:39:15+02:00,187,E,6918,A,125,E
apache_struts,2021-05-31 09:09:26+02:00,187,E,6918,A,125,E
apache_struts,2021-06-07 06:42:01+02:00,187,E,6918,A,125,E
apache_struts,2021-06-14 08:09:40+02:00,187,E,6889,A,124,E
