project,c_hash,date,msg
ant,0619afc83c142cc3c20c2ca2266f24af6e8b6a3c,2016-12-18 16:11:31+01:00,try configuring SonarQube for Ant
ant,79b97a0ef5c4f07a4f1e8ce3888d9f4e979ab56c,2016-12-19 17:23:12+01:00,add a build file for sonarqube
ant,990a664c427ff150971f6fc9dbfeebf066423939,2016-12-19 17:29:38+01:00,sonar.projectVersion seems to be required when using the Ant task
ant,ac1b7652ddd5f4e01eb7e3e5e58f9d22900229a0,2016-12-20 20:37:53+01:00,Sonar false positives for resource leaks
ant,032e888aace67eb95884b2ae40230f2656c4e0d0,2016-12-20 20:41:19+01:00,plug resource leaks detected by Sonar
ant,197ed22d54cc92611c2d39f19b845ebf824ea8e6,2016-12-20 22:25:11+01:00,Sonar's idea of Streams is a bit strange
ant,99deebc03041567403d275478094bb188ebe657d,2016-12-20 22:26:50+01:00,not sure what Sonar sees here but not a few lines later
ant,ef80b111c43f8eab075475a2a60031d45b24754a,2016-12-21 10:59:48+01:00,I disagree with Sonar - moving the assignment make the code worse
ant,23f3c9de3db9a6147ae268a4018966db521cbc7e,2016-12-21 10:59:48+01:00,I disagree with Sonar - moving the assignment make the code worse
ant,eaf3af0aea8b14c4a5d8d63bc4cb22f88dbb19a4,2016-12-21 11:22:00+01:00,Sonar falsely claims expressions to be constant
ant,45152b52080a71b8ef2c6d904375085fa3763e8e,2016-12-21 18:50:29+01:00,Sonar meets backwards compatibility requirements
ant,9b76c358850430674858a2193ef5081ad1a2a691,2018-10-20 09:28:39+02:00,Use canonical download URL for SonarQube tasks
ant,e2dd6ec79a083901907e35ac4f0cd3631e71ec55,2018-11-04 10:02:42+01:00,SonarQube: unnecessary parentheses is a major code smell
ant,e8762432be2a78f5850e989dffb94b697c222563,2018-11-04 12:51:37+01:00,"SonarQube: missing annotations on overridden methods
(major code smell)"
ant,2b699eb695dd42f5343f8f007a87b01e499b146b,2018-11-04 12:56:27+01:00,SonarQube: nested if’s is a major code smell
ant,10fc5782815585cf4bec006e0cd3006b6f863ef6,2019-08-21 12:17:49+02:00,try to move from ASF's Sonarqube to sonarcloud.io
ant,a38e1e8496e00c8b0dda4009759e0809f60d76d9,2019-08-21 12:23:46+02:00,upgrade sonarqube-ant-tasks
ant,b8fc243b515773310bede8a35dffb0c5f6ac6fca,2019-08-21 15:14:37+02:00,the new sonarqube scanner seems to rquire binaries
commons-compress,8705e97fbd1aa9de951456f05dff9ec56c4344b2,2016-12-19 18:38:34+01:00,"trivial fixes of ""bugs"" reported by Sonar"
commons-compress,6b75de47f629a88aa7962fd2b9a2f1f1c1eaf63c,2016-12-19 18:39:55+01:00,silence Sonar where I disagree with it
commons-compress,0c73ea7c62d325bde4612d19cc31b542f36c9457,2016-12-20 14:36:38+01:00,two more trivial fixes for Sonar
